RANK,CARRERA DE,NAC,EQUIPO,POS,GRL,RIT,TIR,PAS,REG,DEF,FÍS
1,Kylian Mbappé,Francia,Paris SG,DC,91,97,90,80,92,36,78
2,Alexia Putellas,España,FC Barcelona,MC,91,82,90,91,92,72,78
3,Erling Haaland,Noruega,Manchester City,DC,91,89,93,66,80,45,88
4,Kevin De Bruyne,Bélgica,Manchester City,MC,91,72,88,94,87,65,78
5,Aitana Bonmatí,España,FC Barcelona,MC,90,81,84,83,91,75,73
6,Lionel Messi,Argentina,Inter Miami CF,SD,90,80,87,90,94,33,64
7,Sam Kerr,Australia,Chelsea,DC,90,85,88,74,90,42,85
8,Karim Benzema,Francia,Al Ittihad,SD,90,79,88,83,87,39,78
9,Thibaut Courtois,Bélgica,Real Madrid,POR,90,85,89,76,93,46,90
10,Harry Kane,Inglaterra,FC Bayern de Múnich,DC,90,69,93,84,83,49,83
11,Caroline Graham Hansen,Noruega,FC Barcelona,ED,90,89,86,88,90,47,75
12,Robert Lewandowski,Polonia,FC Barcelona,DC,90,75,91,80,87,44,84
13,Mohamed Salah,Egipto,Liverpool,ED,89,89,87,81,88,45,76
14,Kadidiatou Diani,Francia,OL,ED,89,89,85,83,88,56,77
15,Mapi León,España,FC Barcelona,DFC,89,75,74,81,76,90,81
16,Rúben Dias,Portugal,Manchester City,DFC,89,62,39,66,69,89,87
17,Vini Jr.,Brasil,Real Madrid,EI,89,95,82,78,90,29,68
18,Rodri,España,Manchester City,MCD,89,58,73,80,80,85,84
19,Neymar Jr,Brasil,Al Hilal,EI,89,86,83,85,93,37,61
20,Alex Morgan,Estados Unidos,San Diego Wave,DC,89,83,89,80,88,47,77
21,Marc-André ter Stegen,Alemania,FC Barcelona,POR,89,86,85,89,91,47,86
22,Virgil van Dijk,Holanda,Liverpool,DFC,89,78,60,71,72,89,86
23,Alisson,Brasil,Liverpool,POR,89,86,85,85,89,56,90
24,Ada Hegerberg,Noruega,OL,DC,89,75,89,77,86,39,76
25,Casemiro,Brasil,Manchester United,MCD,89,63,75,79,73,89,88
26,Irene Paredes,España,FC Barcelona,DFC,88,69,51,67,68,89,80
27,Bruno Fernandes,Portugal,Manchester United,MCO,88,71,86,90,83,69,77
28,Wendie Renard,Francia,OL,DFC,88,53,67,69,69,91,84
29,Antoine Griezmann,Francia,Atlético de Madrid,DC,88,80,88,87,88,58,75
30,Victor Osimhen,Nigeria,Napoli FC,DC,88,90,86,66,83,42,82
31,Alexandra Popp,Alemania,VfL Wolfsburg,DC,88,73,87,76,82,52,88
32,Debinha,Brasil,KC Current,MCO,88,84,81,87,91,46,68
33,Bernardo Silva,Portugal,Manchester City,MC,88,69,78,86,92,70,69
34,Federico Valverde,Uruguay,Real Madrid,MC,88,88,82,84,84,80,82
35,Sophia Smith,Estados Unidos,Portland Thorns,DC,88,93,85,78,88,45,82
36,Ederson,Brasil,Manchester City,POR,88,86,82,91,86,64,86
37,Guro Reiten,Noruega,Chelsea,EI,88,88,80,86,86,60,63
38,Joshua Kimmich,Alemania,FC Bayern de Múnich,MCD,88,70,74,88,84,82,79
39,Jan Oblak,Eslovenia,Atlético de Madrid,POR,88,85,90,78,87,46,86
40,Christiane Endler,Chile,OL,POR,88,87,82,84,90,42,89
41,Marie Katoto,Francia,Paris SG,DC,88,83,88,77,84,39,71
